bfsCode;Gemeindename;Kanton_Code;Kanton;Bezirk_Code;Bezirksname;Grossregion_Code;Grossregion_Text;Agglo_2012_Code;Agglo_2012_Text;Agglogrkl_2012_Code;Agglogrkl_2012_Text;raumStadt_2012_Code;raumStadt_2012_Text;Stadt_2012_Code;Stadt_2012_Text;Stadt_Land_2012_Code;Stadt_Land_2012_Text;Gdetypen_9_2012_Code;Gdetypen_9_2012_Text;Gdetypen_25_2012_Code;Gdetypen_25_2012_Text;Arbmarktgrossreg_2018_Code;Arbmarktgrossreg_2018_Text;Arbmarktreg_2018_Code;Arbmarktreg_2018_Text;Sprachgebiet_2016_Code;Sprachgebiet_2016_Text;Berggebiet_2019_Code;Berggebiet_2019_Text;DEGURBA_2011_Code;DEGURBA_2011_Text;GreaterCity_2011_Code;GreaterCity_2011_Text;Funktional_Stadt_2014_Code;Funktional_Stadt_2014_Text;MS_Region_2000_Code;MS_Region_2000_Text;Arbmarktreg_2000_Code;Arbmarktreg_2000_Text;Typ_MS_Reg_Code;Typ_MS_Reg_Text;Europ_Berggebiet_Code;Europ_Berggebiet_Text
11;Ottenbach;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;12;Region Zürich;12031;Dietikon–Schlieren;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
12;Rifferswil;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;236;Periurbane Industriegemeinde geringer Dichte;11;Zentralschweiz;11060;Zug;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
13;Stallikon;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);21;Periurbane Gemeinde hoher Dichte;217;Periurbane Dienstleistungsgemeinde hoher Dichte;12;Region Zürich;12034;Horgen–Wädenswil;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
14;Wettswil am Albis;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);21;Periurbane Gemeinde hoher Dichte;217;Periurbane Dienstleistungsgemeinde hoher Dichte;12;Region Zürich;12034;Horgen–Wädenswil;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
21;Adlikon;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
22;Benken (ZH);1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;235;Periurbane Agrargemeinde geringer Dichte;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
23;Berg am Irchel;1;ZH;102;Andelfingen;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
24;Buch am Irchel;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;235;Periurbane Agrargemeinde geringer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
25;Dachsen;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
26;Dorf;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
27;Feuerthalen;1;ZH;102;Andelfingen;4;Zürich;2939;Schaffhausen (CH);4;50'000 - 99'999 Einwohner/innen;2;Agglomerationskerngemeinde (Hauptkern);0;nein;1;Städtisch;12;Städtische Gemeinde einer mittelgrossen Agglomeration;123;Städtische Wohngemeinde einer mittelgrossen Agglomeration;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
28;Flaach;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
29;Flurlingen;1;ZH;102;Andelfingen;4;Zürich;2939;Schaffhausen (CH);4;50'000 - 99'999 Einwohner/innen;2;Agglomerationskerngemeinde (Hauptkern);0;nein;1;Städtisch;12;Städtische Gemeinde einer mittelgrossen Agglomeration;123;Städtische Wohngemeinde einer mittelgrossen Agglomeration;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
30;Andelfingen;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
31;Henggart;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
32;Humlikon;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
33;Kleinandelfingen;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
34;Laufen-Uhwiesen;1;ZH;102;Andelfingen;4;Zürich;2939;Schaffhausen (CH);4;50'000 - 99'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
35;Marthalen;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
37;Ossingen;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
38;Rheinau;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
39;Thalheim an der Thur;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;236;Periurbane Industriegemeinde geringer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
40;Trüllikon;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;235;Periurbane Agrargemeinde geringer Dichte;12;Region Zürich;12020;Schaffhausen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
41;Truttikon;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;235;Periurbane Agrargemeinde geringer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);0;Keine Zuordnung
43;Volken;1;ZH;102;Andelfingen;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;12;Region Zürich;12040;Winterthur;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;9;Weinland;11;Winterthur - Schaffhausen;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
51;Bachenbülach;1;ZH;103;Bülach;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;3;Agglomerationskerngemeinde (Nebenkern);0;nein;1;Städtisch;11;Städtische Gemeinde einer grossen Agglomeration;113;Städtische Wohngemeinde einer grossen Agglomeration;12;Region Zürich;12032;Kloten;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;10;Zürcher Unterland;10;Zürich;2;Metropolraum, suburbane Zone (MZS);1;Mittelland - Hochrhein
52;Bassersdorf;1;ZH;103;Bülach;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;2;Agglomerationskerngemeinde (Hauptkern);1;ja (Stadt);1;Städtisch;11;Städtische Gemeinde einer grossen Agglomeration;113;Städtische Wohngemeinde einer grossen Agglomeration;12;Region Zürich;12032;Kloten;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;2;Glattal-Furttal;10;Zürich;1;Metropolraum, Kernagglomeration (MAC);0;Keine Zuordnung
53;Bülach;1;ZH;103;Bülach;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;3;Agglomerationskerngemeinde (Nebenkern);1;ja (Stadt);1;Städtisch;11;Städtische Gemeinde einer grossen Agglomeration;112;Städtische Arbeitsplatzgemeinde einer grossen Agglomeration;12;Region Zürich;12032;Kloten;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;10;Zürcher Unterland;10;Zürich;2;Metropolraum, suburbane Zone (MZS);1;Mittelland - Hochrhein
